prodi_id,nama_prodi_spesifik,alias,kelompok_prodi_resmi,rumpun_ilmu,mapel_kurmer,mapel_k13_ipa,mapel_k13_ips,mapel_k13_bahasa,confidence_score,catatan_mapping,sumber_mapel
P0076,Keuangan Publik,,Ekonomi,Ilmu Sosial,Ekonomi dan/atau Matematika,Matematika,Ekonomi dan/atau Matematika,Matematika,0.85,,Kepmendikdasmen 102/M/2025
P0077,Pertahanan,,Pertahanan,Ilmu Sosial,Pendidikan Pancasila,PPKn,PPKn,PPKn,1.0,,Kepmendikdasmen 102/M/2025
P0078,Manajemen Pertahanan,,Pertahanan,Ilmu Sosial,Pendidikan Pancasila,PPKn,PPKn,PPKn,0.95,,Kepmendikdasmen 102/M/2025
P0079,Ekonomi Pertahanan,,Pertahanan,Ilmu Sosial,Pendidikan Pancasila,PPKn,PPKn,PPKn,0.9,Bisa juga Ekonomi.,Kepmendikdasmen 102/M/2025
P0080,Keamanan Nasional,,Pertahanan,Ilmu Sosial,Pendidikan Pancasila,PPKn,PPKn,PPKn,0.9,Bisa juga Ilmu/Sains Militer.,Kepmendikdasmen 102/M/2025
P0081,Psikologi,Ilmu Psikologi,Psikologi,Ilmu Sosial,Sosiologi dan/atau Matematika,Matematika,Sosiologi,Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0082,Psikologi Islam,,Psikologi,Ilmu Sosial,Sosiologi dan/atau Matematika,Matematika,Sosiologi,Matematika,0.9,Verifikasi prodi keagamaan per kampus.,Kepmendikdasmen 102/M/2025
P0083,Psikologi Pendidikan,,Psikologi,Ilmu Sosial,Sosiologi dan/atau Matematika,Matematika,Sosiologi,Matematika,0.85,Bisa juga Pendidikan.,Kepmendikdasmen 102/M/2025
P0084,Kimia,Kimia Murni,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,1.0,,Kepmendikdasmen 102/M/2025
P0085,Kimia Terapan,,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,1.0,,Kepmendikdasmen 102/M/2025
P0086,Kimia Industri,,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,0.9,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0087,Analis Kimia,,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,0.9,,Kepmendikdasmen 102/M/2025
P0088,Teknologi Kimia Industri,,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,0.85,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0089,Teknologi Laboratorium Kimia,,Kimia,Ilmu Alam,Kimia,Kimia,Kimia,Kimia,0.85,,Kepmendikdasmen 102/M/2025
P0090,Geologi,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0091,Teknik Geologi,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.85,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0092,Geofisika,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0093,Teknik Geofisika,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.85,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0094,Sains Kebumian,Ilmu Kebumian,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0095,Meteorologi,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.95,,Kepmendikdasmen 102/M/2025
P0096,Klimatologi,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0097,Sains Atmosfer,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.9,,Kepmendikdasmen 102/M/2025
P0098,Sains Atmosfer dan Keplanetan,,Ilmu atau Sains Kebumian,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Geografi,Fisika dan/atau Matematika,0.9,Bisa juga Astronomi.,Kepmendikdasmen 102/M/2025
P0099,Ilmu Kelautan,Sains Kelautan,Ilmu atau Sains Kelautan,Ilmu Alam,Biologi,Biologi,Biologi dan/atau Geografi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0100,Oseanografi,,Ilmu atau Sains Kelautan,Ilmu Alam,Biologi,Biologi,Biologi dan/atau Geografi,Biologi,0.9,Bisa juga Sains Kebumian tergantung kampus.,Kepmendikdasmen 102/M/2025
P0101,Teknologi Kelautan,,Ilmu atau Sains Kelautan,Ilmu Alam,Biologi,Biologi,Biologi dan/atau Geografi,Biologi,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0102,Pariwisata Bahari,,Ilmu atau Sains Kelautan,Ilmu Alam,Biologi,Biologi,Biologi dan/atau Geografi,Biologi,0.75,Bisa juga Pariwisata.,Kepmendikdasmen 102/M/2025
P0103,Biologi,Biologi Murni,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0104,Biologi Terapan,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,1.0,,Kepmendikdasmen 102/M/2025
P0105,Mikrobiologi,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0106,Biologi Molekuler,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0107,Genetika,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.95,,Kepmendikdasmen 102/M/2025
P0108,Biomedis,Sains Biomedis,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Kesehatan/Kedokteran tergantung kurikulum.,Kepmendikdasmen 102/M/2025
P0109,Biologi Lingkungan,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Ilmu/Sains Lingkungan.,Kepmendikdasmen 102/M/2025
P0110,Biologi Laut,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.85,Bisa juga Kelautan.,Kepmendikdasmen 102/M/2025
P0111,Biodiversitas,,Biologi,Ilmu Alam,Biologi,Biologi,Biologi,Biologi,0.85,,Kepmendikdasmen 102/M/2025
P0112,Biofisika,,Biofisika,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,1.0,,Kepmendikdasmen 102/M/2025
P0113,Fisika,Fisika Murni,Fisika,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,1.0,,Kepmendikdasmen 102/M/2025
P0114,Fisika Terapan,,Fisika,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,1.0,,Kepmendikdasmen 102/M/2025
P0115,Fisika Medis,,Fisika,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,0.85,Bisa juga Kesehatan.,Kepmendikdasmen 102/M/2025
P0116,Instrumentasi,,Fisika,Ilmu Alam,Fisika,Fisika,Fisika,Fisika,0.8,Bisa juga Teknik/Rekayasa.,Kepmendikdasmen 102/M/2025
P0117,Astronomi,,Astronomi,Ilmu Alam,Fisika dan/atau Matematika Tingkat Lanjut,Fisika dan/atau Matematika dari kelompok peminatan MIPA,Fisika dan/atau Matematika,Fisika dan/atau Matematika,1.0,,Kepmendikdasmen 102/M/2025
P0118,Ilmu Komputer,Computer Science,Komputer,Ilmu Formal,Matematika Tingkat Lanjut,Matematika dari kelompok peminatan MIPA,Matematika,Matematika,1.0,,Kepmendikdasmen 102/M/2025
